@relation annotated_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute followers_count numeric
@attribute following_count numeric
@attribute bio_pronouns_count numeric
@attribute bio_NNP_tags numeric
@attribute bio_PRP_tags numeric
@attribute bio_Yes_freq_terms numeric
@attribute bio_No_freq_terms numeric
@attribute bio_auto_Yes_freq_terms numeric
@attribute name_auto_Yes_freq_terms numeric
@attribute bio_auto_No_freq_terms numeric
@attribute name_auto_No_freq_terms numeric
@attribute class {yes,no}

@data
67,192,0,1,0,0,0,2,1,1,0,yes
205,230,0,4,0,2,1,12,1,0,0,yes
279,175,0,7,0,0,0,5,2,0,0,yes
55,132,0,1,0,0,0,2,2,0,0,yes
1,7,1,1,0,0,0,9,2,0,0,yes
8,127,0,11,0,0,0,12,3,0,0,yes
108,573,0,1,0,0,0,2,2,0,0,yes
131,375,6,3,3,0,0,22,2,1,0,yes
283,57,1,4,1,3,0,8,1,0,0,yes
48,101,0,1,0,0,0,5,2,0,0,yes
130,198,0,5,0,1,0,12,2,0,0,yes
266,603,1,0,1,2,0,8,2,0,0,yes
650,438,2,11,1,0,0,15,2,0,0,yes
178,1078,1,8,1,1,0,5,0,11,1,no
145,724,0,2,0,0,0,1,2,0,0,yes
82,156,0,5,0,0,0,8,2,0,0,yes
9,27,2,9,0,0,0,20,2,1,0,yes
116,219,0,5,0,0,0,9,1,0,0,yes
258,570,0,9,0,0,0,17,2,0,0,yes
24,73,0,0,0,2,0,5,2,0,1,yes
71,88,1,6,0,1,1,20,2,0,0,yes
76,319,2,3,1,2,0,22,2,3,0,yes
482,446,1,8,1,0,0,16,1,0,0,yes
261,302,0,0,0,0,0,9,1,0,0,yes
73,80,0,2,0,0,0,7,3,0,0,yes
975,1856,1,3,0,1,0,18,1,3,0,yes
114,68,2,3,0,1,0,14,2,0,0,yes
497,369,2,7,2,1,0,22,1,0,0,yes
139,21,0,9,1,0,1,8,0,2,1,no
31,188,3,1,3,2,1,15,3,1,0,yes
190,364,1,1,0,1,0,7,2,0,0,yes
222,1359,0,14,0,0,0,23,1,0,0,yes
488,502,0,15,0,0,0,7,4,0,0,yes
106,156,4,4,2,0,0,14,3,2,0,yes
13,70,1,6,0,1,0,15,2,0,0,yes
578,643,2,10,0,2,0,20,2,0,0,yes
55,81,0,12,0,0,0,11,3,0,0,yes
146,173,1,6,0,0,0,10,2,0,0,yes
73,113,3,3,1,3,0,9,2,0,0,yes
368,252,0,7,0,0,0,3,0,11,2,no
4,24,2,9,1,4,0,19,3,0,0,yes
105,186,0,6,1,0,1,12,2,1,0,yes
257,185,0,7,0,0,0,13,2,0,0,yes
59,114,0,10,0,0,0,8,2,0,0,yes
52,162,0,5,0,0,0,4,3,0,0,yes
13,37,0,2,0,0,0,12,1,0,0,yes
18,64,0,1,0,0,0,2,2,0,0,yes
53,191,1,5,1,1,0,9,2,0,0,yes
1999,1043,1,5,0,2,1,13,2,0,0,yes
521,493,1,5,0,1,0,10,1,0,0,yes
406,985,0,15,0,0,0,10,1,1,0,yes
110,322,2,0,1,0,0,4,1,0,0,yes
99,241,1,4,1,1,0,20,2,1,0,yes
191,194,5,4,4,0,1,15,1,2,0,yes
219,642,1,2,0,1,1,8,0,2,2,no
20,64,3,2,1,2,0,23,2,1,0,yes
320,487,1,0,0,2,2,7,0,3,0,no
49,96,0,2,0,2,0,22,1,1,0,yes
384,651,1,6,1,1,0,22,2,0,0,yes
