@relation features-weka.filters.unsupervised.attribute.Remove-R1

@attribute followers_count numeric
@attribute following_count numeric
@attribute bio_pronouns_count numeric
@attribute bio_NNP_tags numeric
@attribute bio_PRP_tags numeric
@attribute bio_Yes_freq_terms numeric
@attribute bio_No_freq_terms numeric
@attribute bio_auto_Yes_freq_terms numeric
@attribute name_auto_Yes_freq_terms numeric
@attribute bio_auto_No_freq_terms numeric
@attribute name_auto_No_freq_terms numeric
@attribute class {yes,no}

@data
622,1992,0,5,0,1,0,10,1,0,0,?
621,1688,3,9,3,0,0,18,0,2,0,?
619,1498,1,5,0,1,0,10,0,0,0,?
617,1130,1,21,0,1,0,15,0,3,0,?
616,1727,0,11,0,0,0,6,0,0,0,?
614,1916,0,4,0,2,1,18,0,0,0,?
616,1996,3,9,1,0,0,8,0,1,0,?
613,1139,1,0,1,1,1,5,0,0,0,?
613,1411,0,1,0,0,0,8,0,1,0,?
607,176,0,5,0,0,0,12,0,0,0,?
604,56,0,0,0,0,0,0,0,0,0,?
604,138,0,6,0,0,0,5,1,1,0,?
602,1922,1,8,0,2,0,11,0,2,0,?
599,2014,0,3,0,1,0,4,0,0,0,?
594,1330,2,0,1,1,0,9,1,0,0,?
591,1280,0,19,0,0,0,15,2,1,0,?
587,1909,0,3,0,1,0,1,0,0,0,?
586,605,0,1,0,0,0,7,0,1,0,?
590,141,0,3,0,1,1,11,0,0,0,?
582,404,0,4,0,0,0,3,1,0,0,?
579,1886,0,4,0,0,0,4,2,0,0,?
584,52,0,2,0,0,0,5,0,0,0,?
575,954,1,1,1,1,0,3,0,1,0,?
575,895,0,1,1,0,0,5,1,1,0,?
575,1890,3,9,1,0,0,8,0,1,0,?
573,1249,1,7,1,0,0,2,0,1,0,?
570,342,2,3,1,0,0,5,0,0,0,?
566,1639,1,0,0,0,0,9,0,1,0,?
567,394,0,13,0,0,0,4,0,0,0,?
566,1995,2,4,1,0,0,9,0,0,0,?
565,76,4,3,2,1,0,12,0,1,0,?
565,1025,0,2,0,0,0,0,0,0,0,?
564,1258,0,2,0,2,0,16,0,3,0,?
562,1943,1,2,1,0,0,7,0,0,0,?
556,1501,0,10,0,0,0,6,1,0,0,?
555,1905,2,3,0,0,0,13,0,0,0,?
553,1998,1,7,0,0,0,16,0,0,0,?
547,1198,3,2,3,1,0,19,1,0,0,?
547,531,0,12,0,0,0,2,0,0,0,?
545,920,0,6,0,0,0,6,1,0,0,?
542,56,0,8,0,3,0,6,0,0,0,?
542,1852,0,11,0,0,0,7,0,0,0,?
535,1317,0,10,0,0,0,9,0,0,0,?
538,138,7,1,4,1,0,18,0,0,0,?
538,1720,0,19,0,0,0,15,0,1,0,?
536,328,0,2,0,0,0,1,0,0,0,?
542,386,0,7,0,0,0,0,0,1,0,?
534,1193,0,1,0,1,0,3,1,0,0,?
535,1952,3,0,2,3,0,15,0,3,0,?
531,314,1,2,0,0,0,7,0,1,0,?
534,798,2,8,1,1,0,12,1,1,0,?
531,871,5,4,3,1,0,15,0,0,0,?
530,80,0,5,0,0,0,2,0,0,0,?
534,543,6,0,4,1,1,13,1,1,0,?
529,1993,0,9,0,1,0,6,0,0,0,?
526,134,1,2,0,1,0,3,0,0,0,?
525,658,0,9,0,0,0,10,0,1,0,?
525,1603,0,14,0,0,0,5,1,0,0,?
523,1435,0,20,0,0,0,3,0,2,0,?
522,450,4,0,3,2,0,7,0,0,0,?
506,890,2,7,0,2,0,15,0,0,0,?
521,1714,2,0,2,0,0,11,0,0,0,?
519,538,6,5,4,0,0,11,0,1,0,?
519,686,1,0,1,1,0,6,1,0,0,?
518,528,1,1,0,1,0,9,0,0,0,?
517,1939,1,5,0,0,0,6,1,0,0,?
517,336,1,4,0,3,0,8,0,0,1,?
517,1999,3,9,1,0,0,8,0,1,0,?
534,745,2,4,1,3,0,11,1,0,0,?
513,77,0,7,0,0,0,8,0,1,0,?
512,1049,0,2,0,0,0,1,0,0,0,?
570,670,1,2,1,3,0,18,0,0,0,?
509,667,0,1,0,0,0,6,0,0,0,?
509,345,2,6,1,0,0,11,1,0,0,?
505,296,0,0,0,1,2,4,0,1,0,?
503,1232,1,6,1,2,2,11,0,1,0,?
503,1328,0,5,0,0,0,4,0,1,0,?
502,562,0,4,0,0,0,9,0,1,0,?
495,856,3,2,2,0,1,18,1,3,0,?
499,486,0,8,0,1,0,11,0,0,0,?
497,133,0,9,0,2,1,13,1,0,0,?
496,1273,0,15,0,1,0,13,1,0,0,?
495,586,1,0,0,0,0,6,0,1,0,?
496,558,0,5,0,0,0,1,0,1,0,?
494,1721,1,6,0,1,0,4,0,0,0,?
491,67,2,4,2,0,0,11,0,0,0,?
514,604,0,2,0,0,0,6,0,2,0,?
489,1732,0,0,1,0,0,3,1,2,0,?
489,115,2,7,2,2,2,7,0,1,0,?
487,732,0,4,0,1,0,6,0,2,0,?
494,77,0,6,0,0,1,8,0,0,0,?
486,440,0,7,0,0,0,5,0,0,0,?
485,1976,1,0,1,0,0,18,0,0,0,?
484,652,2,5,1,0,0,7,1,0,0,?
484,1208,1,14,0,0,0,9,0,0,0,?
483,863,0,5,0,0,0,3,0,0,0,?
484,982,0,12,2,0,1,16,0,1,0,?
482,521,0,5,0,0,0,5,1,0,0,?
482,583,0,5,0,0,0,4,1,0,0,?
481,334,2,6,1,0,0,11,0,0,0,?
481,604,0,0,0,0,0,0,1,0,0,?
480,1996,0,4,0,1,0,6,0,1,0,?
480,167,1,7,1,0,0,1,0,0,0,?
488,248,0,3,0,0,0,7,0,0,0,?
478,1930,3,2,3,0,0,7,0,0,0,?
477,107,1,3,0,0,0,7,0,0,1,?
476,1850,1,4,1,0,0,8,0,3,0,?
475,1232,2,1,0,0,0,12,0,0,0,?
475,1139,0,1,0,0,0,0,0,0,0,?
473,1069,5,1,1,2,0,16,0,0,0,?
472,1056,0,3,0,0,0,8,0,1,0,?
494,693,0,9,0,0,0,8,1,3,0,?
473,22,5,3,3,0,0,21,0,1,0,?
470,39,0,3,0,0,0,2,1,0,0,?
470,841,0,2,0,0,0,3,1,1,1,?
468,896,1,7,0,1,1,13,0,2,0,?
468,780,0,6,0,0,0,2,0,0,0,?
468,2008,0,9,0,0,0,3,0,0,0,?
467,1958,0,3,0,0,0,1,0,0,0,?
467,112,2,5,0,0,0,13,0,0,0,?
464,1532,0,1,0,0,0,2,0,0,0,?
463,1779,1,8,0,1,0,7,0,0,0,?
462,934,0,7,0,0,0,4,0,0,0,?
